columbary_ID,cr_vault_number,cr_full_name,cr_permanent_residence,cr_mobile_number,cr_email_address,cr_date_of_issuance,cr_date_of_expiration,cr_issuing_party,first_beneficiary,second_beneficiary,third_beneficiary,fourth_beneficiary,pa_type_of_p,pa_amount,pa_ref_number
4-A-North,240-B,Gloria Snyder,"25081 Brown Cliff Apt. 908, Williamston, LA 33307",(758)868-2388x3415,jessicaevans@hotmail.com,26/10/2021,06/08/2028,Taylor-Perry,Casey Aguirre,Joseph Davis MD,Brandon Collins,Kimberly Atkinson,FullContribution,62608,944488
89-A-North,11-A,Victoria Brown,"80144 Harper Fields, Meganport, WI 24041",057-251-7901,williamspaula@lowe.com,16/11/2022,29/01/2029,"Smith, Pratt and Mitchell",Timothy Carter,Wayne Reynolds,Sonia Vance PhD,Jonathan Taylor,PartialContribution,221121,925469
73-C-South,301-B,Holly Arnold,"30961 George Garden, Williamsland, ND 16398",927.797.6026,coxmichael@johnson.com,05/06/2024,28/05/2026,Wagner-Carter,Michael Miller,Samuel Cooper,Ashley James,Jason Hall,FullContribution,189663,976676
21-D-North,233-A,Jeffrey Hubbard,"792 Dawn Drives Apt. 446, West Travisshire, NM 14403",001-872-862-6625x8331,lauriehill@gmail.com,07/08/2024,01/05/2029,"Myers, Mills and Young",Laura Wilson,Katherine Wright,Gerald Walker,Christopher Lamb,PartialContribution,290747,945830
84-C-South,48-A,Joshua Walton,"335 Joyce Highway Apt. 068, Meltontown, CA 78434",+1-384-508-3720x03050,zschultz@schultz.com,13/08/2024,25/03/2027,"Ingram, Weiss and Avila",Joshua Martinez,James Marquez,Zachary Nelson II,Brian Thompson,PartialContribution,169678,913365
4-C-North,256-B,Natalie Martin,"339 Hernandez Lock Suite 743, Meyermouth, DC 66196",+1-041-446-2248x000,fholmes@gmail.com,16/07/2023,16/12/2027,"Rodriguez, Goodwin and Gutierrez",Timothy Oliver,Robert Melendez,Pamela Blackwell,David Martinez,FullContribution,108240,945338
58-A-North,453-A,Brian Reyes,"951 Justin Coves, Palmerton, NH 02412",379-731-5988,danielhensley@hotmail.com,20/05/2023,05/08/2028,Fletcher Ltd,Scott Porter,John Frank,Joshua Fields,Jeremy Powers,PartialContribution,147003,984123
68-A-South,46-A,Michael Patel,"08376 Walton Park, Lake Stephentown, AK 36987",+1-951-540-6964x510,mollyhanson@martin.biz,17/09/2022,12/11/2028,Martin Ltd,Brandon Reynolds,Kimberly Jacobson,Larry Bowen,Carrie Rivera,FullContribution,247174,992610
98-D-North,359-A,Jessica Warner,"06219 Baker Plaza, West Andrewville, MI 21865",001-285-734-3490,harold19@gmail.com,18/08/2024,15/09/2028,Reyes PLC,Dr. Joseph Wilson MD,Carolyn Matthews,John Diaz,Tyler Roberts,PartialContribution,117200,965542
92-A-North,367-B,Cheryl Nelson,"7575 Young Ford, West Michael, KY 71365",(220)572-9643,jasmineellison@mccarty.info,21/09/2023,25/03/2029,"Wolfe, Lawson and Reed",Cody Smith,Timothy Fletcher,Cheyenne Brown,Charles Cox,FullContribution,52863,979639
